Word,Definition
Word,Definition
Word,Definition
tongue,The part of the body that tastes food. It is pink or red and is inside the mouth.
topics,The plural form of topic; more than one topic.
torment,
tots,The plural form of tot; more than one tot.
touch,"If you touch something, you feel it with your hand."
tough,"If something is tough, it is difficult, not easy."
towed,The past tense and past participle of tow.
tr,
traces,The plural form of trace; more than one trace.
tracks,The plural form of track; more than one track.
tract,
tractor,"A vehicle used on farms for pulling equipment, preparing the fields, and so on."
traf,
train,A long vehicle with many cars that are joined together. A train runs on a track.
tram,A tram is a public vehicle that operates on tracks laid in or near public roads to carry passengers or sometimes freight..
tramp,A tramp is a homeless person.
tran,
trance,"A trance is a mental state in which a person is only half-conscious. It has been called ""an altered state of consciousness"". The person seems unaware of what is around them, as if 'lost in thought'."
tranquil,
tranquilize,
translate,"If you translate something from one language to another, you change the words and sentences into the other language."
transmit,"If you transmit signals or a message, you send it somewhere else electronically."
transplant,
transport,"If you transport something, you carry it from one place to another, usually on a truck, boat, or other large vehicle."
trap,A trap is a machine or other device made to catch and sometimes kill animals.
traps,The plural form of trap; more than one trap.
trash,Useless things that are discarded.
trauma,A trauma is a scary or disturbing experience.
tray,"A big plate for many people; a wide, long, flat thing that people put food on."
treated,The past tense and past participle of treat.
tree,A tree is a tall plant of wood.
trem,
tremble,To tremble is to vibrate a little bit.
tren,
trench,
triangle,A shape that has three sides and three angles.
tribe,A tribe is a group of people that live together away from civilization
trick,To make someone think something that is not true.
tricked,The past tense and past participle of trick.
trickles,
trillion,"Trillion refers to the number 1,000,000,000,000"
trillionth,
trim,
troll,"A monster in stories that looks something like a human but a different size, and very ugly, that lives in caves or hills or under bridges."
trombone,A trombone is a musical instrument that uses the slide to play notes.
trophy,"A trophy is a special item given for winning a contest or competition.

Synonym: prize"
tropics,
trot,
TRUE,
trumpet,A trumpet is a metal instrument that makes noise when you blow into it. The person playing the trumpet can press different buttons to change the musical note that is being played.
trunk,The trunk of a tree is the part between the roots and the branches.
trust,"When you trust someone, you do not doubt them. You believe that someone is honest and will not cause harm. You believe you can rely on them."
trusted,The past tense and past participle of trust.
truth,The truth is an idea which is correct or accepted as correct.
truthful,
tube,A tube is a long object with a hole from one end to the other. The ends may be closed or open.
tuft,
tup,
turkeys,The plural form of turkey; more than one turkey.
turned,The past tense and past participle of turn.
tusk,
Tut,
tuxedo,"A tuxedo is black jacket that men wear in formal occasions.

Synonym: dinner jacket"
tuxes,
tweed,
twelfth,The twelfth thing is the one that is number twelve  in order.
twentieth,
twenty,The number 20.
twenty-two,The number 22.
twig,"A twig is a small, thin branch of a tree."
twinge,
twis,
twisted,"If you are twisted, you act in a strange way that makes people uncomfortable."
ugly,"If someone or something is ugly, it's not nice to look at."
umbrella,"A tool to keep you dry when it rains. You hold it over your head.

Synonym: parasol"
umpire,
understood,The past tense and past participle of understand.
unfurl,
unlawful,
unless,"If you say that 



x


{\displaystyle x}

 is true unless 



y


{\displaystyle y}

, 



x


{\displaystyle x}

 is true only if 



y


{\displaystyle y}

 does not happen or is not true."
unpack,"To unpack something means to remove items from a package or container, usually referring to a bag or a luggage."
untie,
urge,An urge is a want to do something.
useful,Good for a purpose. If something is useful it can be used for something.
uselessly,
usual,something that is usual happens often
vacuum,A vacuum is an area in space where no matter can be found.
vad,
vak,
valentine,
valentines,
vam,
vamp,
vanilla,Vanilla is a plant. The part around the seeds is used for making some foods taste good.
vanish,
vanished,
vases,The plural form of vase; more than one vase.
vat,"A vat is a very large tub or bowl.

Synonym: basin"
vault,
vaulting,
veil,A veil is a thin piece of cloth that hides a woman's face.
vein,A vein is a tube in the body that carries blood back to the heart.
velvet,
vent,A vent is a hole for air to go through.
Verna,
vessel,"Pot, container."
vex,
vict,
victim,A victim is the person hurt in a crime.
victimize,
vid,
video,A video is a television show or movie.
view,The act of seeing.
vine,"A vine is a long, thin plant. Vines might grow along the ground, or up things such as walls or trees."
violin,A violin is a musical instrument played by moving a bow across the strings.
vip,
vision,Vision is being able to see with your eyes.
voice,The sounds a person makes with the throat.
volcanic,"If something is volcanic, it is made by a volcano or any other kind of igneous rock."
volt,A volt is the unit used to measure electric potential and electromotive force .
volume,The volume of sound or music is how loud it is.
vote,A vote is a formal way of choosing things that are controlled by the majority.
vouch,
vow,"A vow is a promise. Often, a vow is a special promise that is made formally or in front of other people."
voyage,A voyage is a trip involving significant travel; a long trip.
wad,
waffle,A waffle is a food that is usually eaten at breakfast.
wages,The plural form of wage; more than one wage.
wagon,A wagon is a cart with four wheels.
waist,
wall,"One side of a house; a high, flat part of a building."
wallop,
walrus,A walrus is an animal with tusks.
wand,
war,War is when armies or countries fight against each other.
warble,
warden,"a person who looks after a dormitory, a youth hostel."
wardrobe,"A wardrobe is a cabinet that is used to keep clothes.

Synonyms: cupboard and closet"
warm,"If something is warm, it is a nice temperature between cool and hot.

It's good to come into a nice warm house on a winter's day.
She washed her face in the warm water."
warmth,"If something has warmth, then it is warm or has heat."
warn,"If you warn someone about something, is to make them aware of a danger approaching."
warnings,The plural form of warning; more than one warning.
warp,
warranty,
Warren,
warriors,The plural form of warrior; more than one warrior.
wars,The plural form of war; more than one war.
Warsaw,
warts,
wash,"When you wash something, you clean it with water."
wasp,"A wasp is a yellow and black insect which flies fast, has a narrow waist and a sting, bigger than a bee."
waterproof,"If something is waterproof, water cannot go through it."
watertight,
Watson,
watt,A watt is a measure of electrical power.
waves,The plural form of wave; more than one wave.
weak,Weak is used to describe something that does not have a lot of strength.
weakness,Weakness is the condition of being weak.
wealth,"Wealth is when one has a lot of money. Wealth is a lot of money or a lot of things of high value like land, houses, factories, jewelry, etc."
weave,"If you weave, you make cloth by crossing many threads."
web,"A web is a series of lines, ideas, or thoughts connected."
weed,A weed is an unwanted plant.
weep,To weep is to cry or bawl.
weld,
welfare,"Someone's welfare is their health, safety, and other things the make them happy."
whale,A whale is a large animal that lives in the ocean.
wheat,A kind of grain that is used to make flour for bread.
whines,The plural form of whine; more than one whine.
whiskey,An alcoholic liquor made from fermented grain.
whisks,
Whitney,
Whitney's,
whoop,To whoop is to call out a noise in excitement.
whose,Whose is used to ask what person something belongs to.
wick,
wig,"A wig is a type of artificial hair. It can be worn by actors to change their hairstyle without affecting their original hairstyle, by people who do not have hair, or just to look better."
William,
wimp,
winch,
winds,The plural form of wind; more than one wind.
winds (short i),
windy,If it is windy the wind is blowing.
wine,Wine is an alcoholic drink made from grapes or other fruit.
wing,"A wing is the long flat part of a bird, insect or other flying thing. It is used to fly."
wings,The plural form of wing; more than one wing.
wingspan,
wink,
wire,"A wire is a long, thin metal thing, mostly for the purpose of making a connection from electric power to a machine."
wisp,
wit,
witch,A woman who does witchcraft  or has magical powers.
